"","Location","Occupation","Year","Injuries","OccAbbrev"
"9327","  Timaru district","Professionals","2016",144,"Pro"
"9328","  Mackenzie district","Professionals","2016",15,"Pro"
"9329","  Waimate district","Professionals","2016",21,"Pro"
"9330","  Chatham Islands territory","Professionals","2016",NA,"Pro"
"9331","  Waitaki district","Professionals","2016",63,"Pro"
"9332","  Central Otago district","Professionals","2016",90,"Pro"
"9333","  Queenstown-Lakes district","Professionals","2016",90,"Pro"
"9334","  Dunedin city","Professionals","2016",495,"Pro"
"9335","  Clutha district","Professionals","2016",69,"Pro"
"9336","  Southland district","Professionals","2016",102,"Pro"
"9337","  Gore district","Professionals","2016",48,"Pro"
"9338","  Invercargill city","Professionals","2016",147,"Pro"
"9339","  Overseas","Professionals","2016",6,"Pro"
"9340","  In the air - NZ","Professionals","2016",NA,"Pro"
"9341","  In NZ waters","Professionals","2016",6,"Pro"
"9342","  At sea, not in NZ waters","Professionals","2016",NA,"Pro"
"9343","  In the air - overseas","Professionals","2016",NA,"Pro"
"9344","  Not specified","Professionals","2016",39,"Pro"
"9345","  Far North district","Technicians and associate professionals","2016",153,"Tec"
"9346","  Whangarei district","Technicians and associate professionals","2016",390,"Tec"
"9347","  Kaipara district","Technicians and associate professionals","2016",36,"Tec"
"9348","  Auckland city","Technicians and associate professionals","2016",6123,"Tec"
"9349","  Thames-Coromandel district","Technicians and associate professionals","2016",84,"Tec"
"9350","  Hauraki district","Technicians and associate professionals","2016",24,"Tec"
"9351","  Waikato district","Technicians and associate professionals","2016",165,"Tec"
"9352","  Matamata-Piako district","Technicians and associate professionals","2016",96,"Tec"
"9353","  Hamilton city","Technicians and associate professionals","2016",798,"Tec"
"9354","  Waipa district","Technicians and associate professionals","2016",126,"Tec"
"9355","  Otorohanga district","Technicians and associate professionals","2016",24,"Tec"
"9356","  South Waikato district","Technicians and associate professionals","2016",45,"Tec"
"9357","  Waitomo district","Technicians and associate professionals","2016",21,"Tec"
"9358","  Taupo district","Technicians and associate professionals","2016",117,"Tec"
"9359","  Western Bay of Plenty district","Technicians and associate professionals","2016",57,"Tec"
"9360","  Tauranga city","Technicians and associate professionals","2016",585,"Tec"
"9361","  Rotorua district","Technicians and associate professionals","2016",234,"Tec"
"9362","  Whakatane district","Technicians and associate professionals","2016",87,"Tec"
"9363","  Kawerau district","Technicians and associate professionals","2016",42,"Tec"
"9364","  Opotiki district","Technicians and associate professionals","2016",21,"Tec"
"9365","  Gisborne district","Technicians and associate professionals","2016",168,"Tec"
"9366","  Wairoa district","Technicians and associate professionals","2016",24,"Tec"
"9367","  Hastings district","Technicians and associate professionals","2016",273,"Tec"
"9368","  Napier city","Technicians and associate professionals","2016",267,"Tec"
"9369","  Central Hawke's Bay district","Technicians and associate professionals","2016",30,"Tec"
"9370","  New Plymouth district","Technicians and associate professionals","2016",348,"Tec"
"9371","  Stratford district","Technicians and associate professionals","2016",27,"Tec"
"9372","  South Taranaki district","Technicians and associate professionals","2016",51,"Tec"
"9373","  Ruapehu district","Technicians and associate professionals","2016",54,"Tec"
"9374","  Whanganui district","Technicians and associate professionals","2016",141,"Tec"
"9375","  Rangitikei district","Technicians and associate professionals","2016",42,"Tec"
"9376","  Manawatu district","Technicians and associate professionals","2016",78,"Tec"
"9377","  Palmerston North city","Technicians and associate professionals","2016",381,"Tec"
"9378","  Tararua district","Technicians and associate professionals","2016",21,"Tec"
"9379","  Horowhenua district","Technicians and associate professionals","2016",60,"Tec"
"9380","  Kapiti Coast district","Technicians and associate professionals","2016",108,"Tec"
"9381","  Porirua city","Technicians and associate professionals","2016",120,"Tec"
"9382","  Upper Hutt city","Technicians and associate professionals","2016",84,"Tec"
"9383","  Lower Hutt city","Technicians and associate professionals","2016",246,"Tec"
"9384","  Wellington city","Technicians and associate professionals","2016",1026,"Tec"
"9385","  Masterton district","Technicians and associate professionals","2016",93,"Tec"
"9386","  Carterton district","Technicians and associate professionals","2016",24,"Tec"
"9387","  South Wairarapa district","Technicians and associate professionals","2016",21,"Tec"
"9388","  Tasman district","Technicians and associate professionals","2016",126,"Tec"
"9389","  Nelson city","Technicians and associate professionals","2016",369,"Tec"
"9390","  Marlborough district","Technicians and associate professionals","2016",189,"Tec"
"9391","  Kaikoura district","Technicians and associate professionals","2016",12,"Tec"
"9392","  Buller district","Technicians and associate professionals","2016",21,"Tec"
"9393","  Grey district","Technicians and associate professionals","2016",36,"Tec"
"9394","  Westland district","Technicians and associate professionals","2016",30,"Tec"
"9395","  Hurunui district","Technicians and associate professionals","2016",39,"Tec"
"9396","  Waimakariri district","Technicians and associate professionals","2016",81,"Tec"
"9397","  Christchurch city","Technicians and associate professionals","2016",1512,"Tec"
"9398","  Selwyn district","Technicians and associate professionals","2016",96,"Tec"
"9399","  Ashburton district","Technicians and associate professionals","2016",84,"Tec"
"9400","  Timaru district","Technicians and associate professionals","2016",117,"Tec"
"9401","  Mackenzie district","Technicians and associate professionals","2016",15,"Tec"
"9402","  Waimate district","Technicians and associate professionals","2016",6,"Tec"
"9403","  Chatham Islands territory","Technicians and associate professionals","2016",NA,"Tec"
"9404","  Waitaki district","Technicians and associate professionals","2016",66,"Tec"
"9405","  Central Otago district","Technicians and associate professionals","2016",123,"Tec"
"9406","  Queenstown-Lakes district","Technicians and associate professionals","2016",231,"Tec"
"9407","  Dunedin city","Technicians and associate professionals","2016",591,"Tec"
"9408","  Clutha district","Technicians and associate professionals","2016",42,"Tec"
"9409","  Southland district","Technicians and associate professionals","2016",96,"Tec"
"9410","  Gore district","Technicians and associate professionals","2016",60,"Tec"
"9411","  Invercargill city","Technicians and associate professionals","2016",222,"Tec"
"9412","  Overseas","Technicians and associate professionals","2016",156,"Tec"
"9413","  In the air - NZ","Technicians and associate professionals","2016",NA,"Tec"
"9414","  In NZ waters","Technicians and associate professionals","2016",18,"Tec"
"9415","  At sea, not in NZ waters","Technicians and associate professionals","2016",3,"Tec"
"9416","  In the air - overseas","Technicians and associate professionals","2016",NA,"Tec"
"9417","  Not specified","Technicians and associate professionals","2016",69,"Tec"
"9418","  Far North district","Clerks","2016",60,"Cle"
"9419","  Whangarei district","Clerks","2016",114,"Cle"
"9420","  Kaipara district","Clerks","2016",3,"Cle"
"9421","  Auckland city","Clerks","2016",3075,"Cle"
"9422","  Thames-Coromandel district","Clerks","2016",39,"Cle"
"9423","  Hauraki district","Clerks","2016",12,"Cle"
"9424","  Waikato district","Clerks","2016",42,"Cle"
"9425","  Matamata-Piako district","Clerks","2016",45,"Cle"
"9426","  Hamilton city","Clerks","2016",315,"Cle"
"9427","  Waipa district","Clerks","2016",60,"Cle"
"9428","  Otorohanga district","Clerks","2016",9,"Cle"
"9429","  South Waikato district","Clerks","2016",24,"Cle"
"9430","  Waitomo district","Clerks","2016",9,"Cle"
"9431","  Taupo district","Clerks","2016",48,"Cle"
"9432","  Western Bay of Plenty district","Clerks","2016",15,"Cle"
"9433","  Tauranga city","Clerks","2016",219,"Cle"
"9434","  Rotorua district","Clerks","2016",90,"Cle"
"9435","  Whakatane district","Clerks","2016",21,"Cle"
"9436","  Kawerau district","Clerks","2016",6,"Cle"
"9437","  Opotiki district","Clerks","2016",9,"Cle"
"9438","  Gisborne district","Clerks","2016",60,"Cle"
"9439","  Wairoa district","Clerks","2016",9,"Cle"
"9440","  Hastings district","Clerks","2016",111,"Cle"
"9441","  Napier city","Clerks","2016",84,"Cle"
"9442","  Central Hawke's Bay district","Clerks","2016",6,"Cle"
"9443","  New Plymouth district","Clerks","2016",105,"Cle"
"9444","  Stratford district","Clerks","2016",9,"Cle"
"9445","  South Taranaki district","Clerks","2016",15,"Cle"
"9446","  Ruapehu district","Clerks","2016",24,"Cle"
"9447","  Whanganui district","Clerks","2016",60,"Cle"
"9448","  Rangitikei district","Clerks","2016",12,"Cle"
"9449","  Manawatu district","Clerks","2016",36,"Cle"
"9450","  Palmerston North city","Clerks","2016",147,"Cle"
"9451","  Tararua district","Clerks","2016",3,"Cle"
"9452","  Horowhenua district","Clerks","2016",15,"Cle"
"9453","  Kapiti Coast district","Clerks","2016",33,"Cle"
"9454","  Porirua city","Clerks","2016",72,"Cle"
"9455","  Upper Hutt city","Clerks","2016",30,"Cle"
"9456","  Lower Hutt city","Clerks","2016",132,"Cle"
"9457","  Wellington city","Clerks","2016",309,"Cle"
"9458","  Masterton district","Clerks","2016",45,"Cle"
"9459","  Carterton district","Clerks","2016",6,"Cle"
"9460","  South Wairarapa district","Clerks","2016",9,"Cle"
"9461","  Tasman district","Clerks","2016",30,"Cle"
"9462","  Nelson city","Clerks","2016",96,"Cle"
"9463","  Marlborough district","Clerks","2016",72,"Cle"
"9464","  Kaikoura district","Clerks","2016",3,"Cle"
"9465","  Buller district","Clerks","2016",6,"Cle"
"9466","  Grey district","Clerks","2016",21,"Cle"
"9467","  Westland district","Clerks","2016",21,"Cle"
"9468","  Hurunui district","Clerks","2016",12,"Cle"
"9469","  Waimakariri district","Clerks","2016",45,"Cle"
"9470","  Christchurch city","Clerks","2016",813,"Cle"
"9471","  Selwyn district","Clerks","2016",18,"Cle"
"9472","  Ashburton district","Clerks","2016",42,"Cle"
"9473","  Timaru district","Clerks","2016",63,"Cle"
"9474","  Mackenzie district","Clerks","2016",9,"Cle"
"9475","  Waimate district","Clerks","2016",3,"Cle"
"9476","  Chatham Islands territory","Clerks","2016",NA,"Cle"
"9477","  Waitaki district","Clerks","2016",15,"Cle"
"9478","  Central Otago district","Clerks","2016",30,"Cle"
"9479","  Queenstown-Lakes district","Clerks","2016",69,"Cle"
"9480","  Dunedin city","Clerks","2016",195,"Cle"
"9481","  Clutha district","Clerks","2016",18,"Cle"
"9482","  Southland district","Clerks","2016",27,"Cle"
"9483","  Gore district","Clerks","2016",12,"Cle"
"9484","  Invercargill city","Clerks","2016",57,"Cle"
"9485","  Overseas","Clerks","2016",NA,"Cle"
"9486","  In the air - NZ","Clerks","2016",NA,"Cle"
"9487","  In NZ waters","Clerks","2016",NA,"Cle"
"9488","  At sea, not in NZ waters","Clerks","2016",NA,"Cle"
"9489","  In the air - overseas","Clerks","2016",NA,"Cle"
"9490","  Not specified","Clerks","2016",15,"Cle"
"9491","  Far North district","Service and sales workers","2016",381,"Ser"
"9492","  Whangarei district","Service and sales workers","2016",516,"Ser"
"9493","  Kaipara district","Service and sales workers","2016",78,"Ser"
"9494","  Auckland city","Service and sales workers","2016",8916,"Ser"
"9495","  Thames-Coromandel district","Service and sales workers","2016",198,"Ser"
"9496","  Hauraki district","Service and sales workers","2016",90,"Ser"
"9497","  Waikato district","Service and sales workers","2016",186,"Ser"
"9498","  Matamata-Piako district","Service and sales workers","2016",135,"Ser"
"9499","  Hamilton city","Service and sales workers","2016",1032,"Ser"
"9500","  Waipa district","Service and sales workers","2016",189,"Ser"
"9501","  Otorohanga district","Service and sales workers","2016",30,"Ser"
"9502","  South Waikato district","Service and sales workers","2016",75,"Ser"
"9503","  Waitomo district","Service and sales workers","2016",69,"Ser"
"9504","  Taupo district","Service and sales workers","2016",291,"Ser"
"9505","  Western Bay of Plenty district","Service and sales workers","2016",99,"Ser"
"9506","  Tauranga city","Service and sales workers","2016",951,"Ser"
"9507","  Rotorua district","Service and sales workers","2016",507,"Ser"
"9508","  Whakatane district","Service and sales workers","2016",183,"Ser"
"9509","  Kawerau district","Service and sales workers","2016",33,"Ser"
"9510","  Opotiki district","Service and sales workers","2016",36,"Ser"
"9511","  Gisborne district","Service and sales workers","2016",243,"Ser"
"9512","  Wairoa district","Service and sales workers","2016",27,"Ser"
"9513","  Hastings district","Service and sales workers","2016",558,"Ser"
"9514","  Napier city","Service and sales workers","2016",516,"Ser"
"9515","  Central Hawke's Bay district","Service and sales workers","2016",42,"Ser"
"9516","  New Plymouth district","Service and sales workers","2016",441,"Ser"
"9517","  Stratford district","Service and sales workers","2016",42,"Ser"
"9518","  South Taranaki district","Service and sales workers","2016",63,"Ser"
"9519","  Ruapehu district","Service and sales workers","2016",495,"Ser"
"9520","  Whanganui district","Service and sales workers","2016",300,"Ser"
"9521","  Rangitikei district","Service and sales workers","2016",78,"Ser"
"9522","  Manawatu district","Service and sales workers","2016",798,"Ser"
"9523","  Palmerston North city","Service and sales workers","2016",744,"Ser"
"9524","  Tararua district","Service and sales workers","2016",51,"Ser"
"9525","  Horowhenua district","Service and sales workers","2016",93,"Ser"
"9526","  Kapiti Coast district","Service and sales workers","2016",234,"Ser"
"9527","  Porirua city","Service and sales workers","2016",420,"Ser"
"9528","  Upper Hutt city","Service and sales workers","2016",300,"Ser"
"9529","  Lower Hutt city","Service and sales workers","2016",387,"Ser"
"9530","  Wellington city","Service and sales workers","2016",1287,"Ser"
"9531","  Masterton district","Service and sales workers","2016",150,"Ser"
"9532","  Carterton district","Service and sales workers","2016",36,"Ser"
"9533","  South Wairarapa district","Service and sales workers","2016",54,"Ser"
"9534","  Tasman district","Service and sales workers","2016",201,"Ser"
"9535","  Nelson city","Service and sales workers","2016",408,"Ser"
"9536","  Marlborough district","Service and sales workers","2016",531,"Ser"
"9537","  Kaikoura district","Service and sales workers","2016",33,"Ser"
"9538","  Buller district","Service and sales workers","2016",36,"Ser"
"9539","  Grey district","Service and sales workers","2016",99,"Ser"
"9540","  Westland district","Service and sales workers","2016",72,"Ser"
"9541","  Hurunui district","Service and sales workers","2016",63,"Ser"
"9542","  Waimakariri district","Service and sales workers","2016",180,"Ser"
"9543","  Christchurch city","Service and sales workers","2016",2220,"Ser"
"9544","  Selwyn district","Service and sales workers","2016",345,"Ser"
"9545","  Ashburton district","Service and sales workers","2016",159,"Ser"
"9546","  Timaru district","Service and sales workers","2016",237,"Ser"
"9547","  Mackenzie district","Service and sales workers","2016",51,"Ser"
"9548","  Waimate district","Service and sales workers","2016",21,"Ser"
"9549","  Chatham Islands territory","Service and sales workers","2016",6,"Ser"
"9550","  Waitaki district","Service and sales workers","2016",93,"Ser"
"9551","  Central Otago district","Service and sales workers","2016",228,"Ser"
"9552","  Queenstown-Lakes district","Service and sales workers","2016",645,"Ser"
"9553","  Dunedin city","Service and sales workers","2016",783,"Ser"
"9554","  Clutha district","Service and sales workers","2016",63,"Ser"
"9555","  Southland district","Service and sales workers","2016",138,"Ser"
"9556","  Gore district","Service and sales workers","2016",87,"Ser"
"9557","  Invercargill city","Service and sales workers","2016",288,"Ser"
"9558","  Overseas","Service and sales workers","2016",120,"Ser"
"9559","  In the air - NZ","Service and sales workers","2016",6,"Ser"
"9560","  In NZ waters","Service and sales workers","2016",12,"Ser"
"9561","  At sea, not in NZ waters","Service and sales workers","2016",3,"Ser"
"9562","  In the air - overseas","Service and sales workers","2016",NA,"Ser"
"9563","  Not specified","Service and sales workers","2016",222,"Ser"
"9564","  Far North district","Agriculture and fishery workers","2016",825,"Agr"
"9565","  Whangarei district","Agriculture and fishery workers","2016",747,"Agr"
"9566","  Kaipara district","Agriculture and fishery workers","2016",393,"Agr"
"9567","  Auckland city","Agriculture and fishery workers","2016",3132,"Agr"
"9568","  Thames-Coromandel district","Agriculture and fishery workers","2016",324,"Agr"
"9569","  Hauraki district","Agriculture and fishery workers","2016",228,"Agr"
"9570","  Waikato district","Agriculture and fishery workers","2016",927,"Agr"
"9571","  Matamata-Piako district","Agriculture and fishery workers","2016",891,"Agr"
"9572","  Hamilton city","Agriculture and fishery workers","2016",546,"Agr"
"9573","  Waipa district","Agriculture and fishery workers","2016",864,"Agr"
"9574","  Otorohanga district","Agriculture and fishery workers","2016",231,"Agr"
"9575","  South Waikato district","Agriculture and fishery workers","2016",420,"Agr"
"9576","  Waitomo district","Agriculture and fishery workers","2016",273,"Agr"
"9577","  Taupo district","Agriculture and fishery workers","2016",405,"Agr"
"9578","  Western Bay of Plenty district","Agriculture and fishery workers","2016",564,"Agr"
"9579","  Tauranga city","Agriculture and fishery workers","2016",897,"Agr"
"9580","  Rotorua district","Agriculture and fishery workers","2016",483,"Agr"
"9581","  Whakatane district","Agriculture and fishery workers","2016",345,"Agr"
"9582","  Kawerau district","Agriculture and fishery workers","2016",33,"Agr"
"9583","  Opotiki district","Agriculture and fishery workers","2016",210,"Agr"
"9584","  Gisborne district","Agriculture and fishery workers","2016",822,"Agr"
"9585","  Wairoa district","Agriculture and fishery workers","2016",174,"Agr"
"9586","  Hastings district","Agriculture and fishery workers","2016",1359,"Agr"
"9587","  Napier city","Agriculture and fishery workers","2016",384,"Agr"
"9588","  Central Hawke's Bay district","Agriculture and fishery workers","2016",381,"Agr"
"9589","  New Plymouth district","Agriculture and fishery workers","2016",687,"Agr"
"9590","  Stratford district","Agriculture and fishery workers","2016",210,"Agr"
"9591","  South Taranaki district","Agriculture and fishery workers","2016",471,"Agr"
"9592","  Ruapehu district","Agriculture and fishery workers","2016",282,"Agr"
"9593","  Whanganui district","Agriculture and fishery workers","2016",414,"Agr"
"9594","  Rangitikei district","Agriculture and fishery workers","2016",345,"Agr"
"9595","  Manawatu district","Agriculture and fishery workers","2016",360,"Agr"
"9596","  Palmerston North city","Agriculture and fishery workers","2016",435,"Agr"
"9597","  Tararua district","Agriculture and fishery workers","2016",315,"Agr"
"9598","  Horowhenua district","Agriculture and fishery workers","2016",219,"Agr"
"9599","  Kapiti Coast district","Agriculture and fishery workers","2016",123,"Agr"
"9600","  Porirua city","Agriculture and fishery workers","2016",57,"Agr"
"9601","  Upper Hutt city","Agriculture and fishery workers","2016",51,"Agr"
"9602","  Lower Hutt city","Agriculture and fishery workers","2016",81,"Agr"
"9603","  Wellington city","Agriculture and fishery workers","2016",186,"Agr"
"9604","  Masterton district","Agriculture and fishery workers","2016",399,"Agr"
"9605","  Carterton district","Agriculture and fishery workers","2016",60,"Agr"
"9606","  South Wairarapa district","Agriculture and fishery workers","2016",225,"Agr"
"9607","  Tasman district","Agriculture and fishery workers","2016",618,"Agr"
"9608","  Nelson city","Agriculture and fishery workers","2016",297,"Agr"
"9609","  Marlborough district","Agriculture and fishery workers","2016",840,"Agr"
"9610","  Kaikoura district","Agriculture and fishery workers","2016",87,"Agr"
"9611","  Buller district","Agriculture and fishery workers","2016",93,"Agr"
"9612","  Grey district","Agriculture and fishery workers","2016",102,"Agr"
"9613","  Westland district","Agriculture and fishery workers","2016",117,"Agr"
"9614","  Hurunui district","Agriculture and fishery workers","2016",402,"Agr"
"9615","  Waimakariri district","Agriculture and fishery workers","2016",312,"Agr"
"9616","  Christchurch city","Agriculture and fishery workers","2016",912,"Agr"
"9617","  Selwyn district","Agriculture and fishery workers","2016",489,"Agr"
"9618","  Ashburton district","Agriculture and fishery workers","2016",876,"Agr"
"9619","  Timaru district","Agriculture and fishery workers","2016",498,"Agr"
"9620","  Mackenzie district","Agriculture and fishery workers","2016",153,"Agr"
"9621","  Waimate district","Agriculture and fishery workers","2016",162,"Agr"
"9622","  Chatham Islands territory","Agriculture and fishery workers","2016",30,"Agr"
"9623","  Waitaki district","Agriculture and fishery workers","2016",447,"Agr"
"9624","  Central Otago district","Agriculture and fishery workers","2016",687,"Agr"
"9625","  Queenstown-Lakes district","Agriculture and fishery workers","2016",171,"Agr"
"9626","  Dunedin city","Agriculture and fishery workers","2016",399,"Agr"
"9627","  Clutha district","Agriculture and fishery workers","2016",522,"Agr"
"9628","  Southland district","Agriculture and fishery workers","2016",1230,"Agr"
"9629","  Gore district","Agriculture and fishery workers","2016",468,"Agr"
"9630","  Invercargill city","Agriculture and fishery workers","2016",321,"Agr"
"9631","  Overseas","Agriculture and fishery workers","2016",NA,"Agr"
"9632","  In the air - NZ","Agriculture and fishery workers","2016",NA,"Agr"
"9633","  In NZ waters","Agriculture and fishery workers","2016",69,"Agr"
"9634","  At sea, not in NZ waters","Agriculture and fishery workers","2016",NA,"Agr"
"9635","  In the air - overseas","Agriculture and fishery workers","2016",NA,"Agr"
"9636","  Not specified","Agriculture and fishery workers","2016",66,"Agr"
"9637","  Far North district","Trades workers","2016",501,"Tra"
"9638","  Whangarei district","Trades workers","2016",909,"Tra"
"9639","  Kaipara district","Trades workers","2016",171,"Tra"
"9640","  Auckland city","Trades workers","2016",13494,"Tra"
"9641","  Thames-Coromandel district","Trades workers","2016",387,"Tra"
"9642","  Hauraki district","Trades workers","2016",123,"Tra"
"9643","  Waikato district","Trades workers","2016",486,"Tra"
"9644","  Matamata-Piako district","Trades workers","2016",303,"Tra"
"9645","  Hamilton city","Trades workers","2016",1611,"Tra"
"9646","  Waipa district","Trades workers","2016",417,"Tra"
"9647","  Otorohanga district","Trades workers","2016",60,"Tra"
"9648","  South Waikato district","Trades workers","2016",147,"Tra"
"9649","  Waitomo district","Trades workers","2016",54,"Tra"
"9650","  Taupo district","Trades workers","2016",315,"Tra"
"9651","  Western Bay of Plenty district","Trades workers","2016",219,"Tra"
"9652","  Tauranga city","Trades workers","2016",1659,"Tra"
"9653","  Rotorua district","Trades workers","2016",567,"Tra"
"9654","  Whakatane district","Trades workers","2016",237,"Tra"
"9655","  Kawerau district","Trades workers","2016",48,"Tra"
"9656","  Opotiki district","Trades workers","2016",42,"Tra"
"9657","  Gisborne district","Trades workers","2016",357,"Tra"
"9658","  Wairoa district","Trades workers","2016",39,"Tra"
"9659","  Hastings district","Trades workers","2016",651,"Tra"
"9660","  Napier city","Trades workers","2016",513,"Tra"
"9661","  Central Hawke's Bay district","Trades workers","2016",90,"Tra"
"9662","  New Plymouth district","Trades workers","2016",735,"Tra"
"9663","  Stratford district","Trades workers","2016",51,"Tra"
"9664","  South Taranaki district","Trades workers","2016",153,"Tra"
"9665","  Ruapehu district","Trades workers","2016",78,"Tra"
"9666","  Whanganui district","Trades workers","2016",312,"Tra"
"9667","  Rangitikei district","Trades workers","2016",63,"Tra"
"9668","  Manawatu district","Trades workers","2016",162,"Tra"
"9669","  Palmerston North city","Trades workers","2016",609,"Tra"
"9670","  Tararua district","Trades workers","2016",81,"Tra"
"9671","  Horowhenua district","Trades workers","2016",171,"Tra"
"9672","  Kapiti Coast district","Trades workers","2016",321,"Tra"
"9673","  Porirua city","Trades workers","2016",285,"Tra"
"9674","  Upper Hutt city","Trades workers","2016",198,"Tra"
"9675","  Lower Hutt city","Trades workers","2016",648,"Tra"
"9676","  Wellington city","Trades workers","2016",1260,"Tra"
"9677","  Masterton district","Trades workers","2016",234,"Tra"
"9678","  Carterton district","Trades workers","2016",48,"Tra"
"9679","  South Wairarapa district","Trades workers","2016",69,"Tra"
"9680","  Tasman district","Trades workers","2016",300,"Tra"
"9681","  Nelson city","Trades workers","2016",594,"Tra"
"9682","  Marlborough district","Trades workers","2016",435,"Tra"
"9683","  Kaikoura district","Trades workers","2016",39,"Tra"
"9684","  Buller district","Trades workers","2016",51,"Tra"
"9685","  Grey district","Trades workers","2016",114,"Tra"
"9686","  Westland district","Trades workers","2016",78,"Tra"
"9687","  Hurunui district","Trades workers","2016",87,"Tra"
"9688","  Waimakariri district","Trades workers","2016",300,"Tra"
"9689","  Christchurch city","Trades workers","2016",5241,"Tra"
"9690","  Selwyn district","Trades workers","2016",198,"Tra"
"9691","  Ashburton district","Trades workers","2016",333,"Tra"
"9692","  Timaru district","Trades workers","2016",429,"Tra"
"9693","  Mackenzie district","Trades workers","2016",42,"Tra"
"9694","  Waimate district","Trades workers","2016",36,"Tra"
"9695","  Chatham Islands territory","Trades workers","2016",9,"Tra"
"9696","  Waitaki district","Trades workers","2016",156,"Tra"
"9697","  Central Otago district","Trades workers","2016",393,"Tra"
"9698","  Queenstown-Lakes district","Trades workers","2016",660,"Tra"
"9699","  Dunedin city","Trades workers","2016",906,"Tra"
"9700","  Clutha district","Trades workers","2016",114,"Tra"
"9701","  Southland district","Trades workers","2016",210,"Tra"
"9702","  Gore district","Trades workers","2016",111,"Tra"
"9703","  Invercargill city","Trades workers","2016",342,"Tra"
"9704","  Overseas","Trades workers","2016",NA,"Tra"
"9705","  In the air - NZ","Trades workers","2016",NA,"Tra"
"9706","  In NZ waters","Trades workers","2016",NA,"Tra"
"9707","  At sea, not in NZ waters","Trades workers","2016",NA,"Tra"
"9708","  In the air - overseas","Trades workers","2016",NA,"Tra"
"9709","  Not specified","Trades workers","2016",51,"Tra"
"9710","  Far North district","Plant and machine operators and assemblers","2016",465,"Pla"
"9711","  Whangarei district","Plant and machine operators and assemblers","2016",678,"Pla"
"9712","  Kaipara district","Plant and machine operators and assemblers","2016",141,"Pla"
"9713","  Auckland city","Plant and machine operators and assemblers","2016",9504,"Pla"
"9714","  Thames-Coromandel district","Plant and machine operators and assemblers","2016",186,"Pla"
"9715","  Hauraki district","Plant and machine operators and assemblers","2016",108,"Pla"
"9716","  Waikato district","Plant and machine operators and assemblers","2016",411,"Pla"
"9717","  Matamata-Piako district","Plant and machine operators and assemblers","2016",321,"Pla"
"9718","  Hamilton city","Plant and machine operators and assemblers","2016",1170,"Pla"
"9719","  Waipa district","Plant and machine operators and assemblers","2016",282,"Pla"
"9720","  Otorohanga district","Plant and machine operators and assemblers","2016",72,"Pla"
"9721","  South Waikato district","Plant and machine operators and assemblers","2016",225,"Pla"
"9722","  Waitomo district","Plant and machine operators and assemblers","2016",189,"Pla"
"9723","  Taupo district","Plant and machine operators and assemblers","2016",300,"Pla"
"9724","  Western Bay of Plenty district","Plant and machine operators and assemblers","2016",222,"Pla"
"9725","  Tauranga city","Plant and machine operators and assemblers","2016",1161,"Pla"
"9726","  Rotorua district","Plant and machine operators and assemblers","2016",444,"Pla"
"9727","  Whakatane district","Plant and machine operators and assemblers","2016",192,"Pla"
"9728","  Kawerau district","Plant and machine operators and assemblers","2016",66,"Pla"
"9729","  Opotiki district","Plant and machine operators and assemblers","2016",48,"Pla"
"9730","  Gisborne district","Plant and machine operators and assemblers","2016",393,"Pla"
"9731","  Wairoa district","Plant and machine operators and assemblers","2016",129,"Pla"
"9732","  Hastings district","Plant and machine operators and assemblers","2016",816,"Pla"
"9733","  Napier city","Plant and machine operators and assemblers","2016",492,"Pla"
"9734","  Central Hawke's Bay district","Plant and machine operators and assemblers","2016",195,"Pla"
"9735","  New Plymouth district","Plant and machine operators and assemblers","2016",744,"Pla"
"9736","  Stratford district","Plant and machine operators and assemblers","2016",60,"Pla"
"9737","  South Taranaki district","Plant and machine operators and assemblers","2016",243,"Pla"
"9738","  Ruapehu district","Plant and machine operators and assemblers","2016",105,"Pla"
"9739","  Whanganui district","Plant and machine operators and assemblers","2016",381,"Pla"
"9740","  Rangitikei district","Plant and machine operators and assemblers","2016",150,"Pla"
"9741","  Manawatu district","Plant and machine operators and assemblers","2016",258,"Pla"
"9742","  Palmerston North city","Plant and machine operators and assemblers","2016",486,"Pla"
"9743","  Tararua district","Plant and machine operators and assemblers","2016",105,"Pla"
"9744","  Horowhenua district","Plant and machine operators and assemblers","2016",162,"Pla"
"9745","  Kapiti Coast district","Plant and machine operators and assemblers","2016",198,"Pla"
"9746","  Porirua city","Plant and machine operators and assemblers","2016",174,"Pla"
"9747","  Upper Hutt city","Plant and machine operators and assemblers","2016",120,"Pla"
"9748","  Lower Hutt city","Plant and machine operators and assemblers","2016",432,"Pla"
"9749","  Wellington city","Plant and machine operators and assemblers","2016",636,"Pla"
"9750","  Masterton district","Plant and machine operators and assemblers","2016",177,"Pla"
"9751","  Carterton district","Plant and machine operators and assemblers","2016",48,"Pla"
"9752","  South Wairarapa district","Plant and machine operators and assemblers","2016",63,"Pla"
"9753","  Tasman district","Plant and machine operators and assemblers","2016",249,"Pla"
"9754","  Nelson city","Plant and machine operators and assemblers","2016",375,"Pla"
"9755","  Marlborough district","Plant and machine operators and assemblers","2016",450,"Pla"
"9756","  Kaikoura district","Plant and machine operators and assemblers","2016",30,"Pla"
"9757","  Buller district","Plant and machine operators and assemblers","2016",75,"Pla"
"9758","  Grey district","Plant and machine operators and assemblers","2016",162,"Pla"
"9759","  Westland district","Plant and machine operators and assemblers","2016",123,"Pla"
